"date","wave","wave.day","type","cases.stat"
2020-03-20,"Primera",19,"Spline (df=33)",179.762364564474
2020-03-20,"Primera",19,"Cambio en spline",0.0786216947200827
2020-03-20,"Primera",19,"Índice (día 1 = 100)",977.692307692308
2020-03-21,"Primera",20,"Casos",159
2020-03-21,"Primera",20,"Media móvil de 7 días",190.142857142857
2020-03-21,"Primera",20,"Spline (df=33)",193.669053571864
2020-03-21,"Primera",20,"Cambio en spline",0.0773615158049534
2020-03-21,"Primera",20,"Índice (día 1 = 100)",1023.84615384615
2020-03-22,"Primera",21,"Casos",180
2020-03-22,"Primera",21,"Media móvil de 7 días",204.142857142857
2020-03-22,"Primera",21,"Spline (df=33)",208.516425326552
2020-03-22,"Primera",21,"Cambio en spline",0.0766636252971546
2020-03-22,"Primera",21,"Índice (día 1 = 100)",1099.23076923077
2020-03-23,"Primera",22,"Casos",263
2020-03-23,"Primera",22,"Media móvil de 7 días",226.857142857143
2020-03-23,"Primera",22,"Spline (df=33)",224.441512213163
2020-03-23,"Primera",22,"Cambio en spline",0.0763732970276592
2020-03-23,"Primera",22,"Índice (día 1 = 100)",1221.53846153846
2020-03-24,"Primera",23,"Casos",209
2020-03-24,"Primera",23,"Media móvil de 7 días",240.285714285714
2020-03-24,"Primera",23,"Spline (df=33)",241.581346616321
2020-03-24,"Primera",23,"Cambio en spline",0.0763665965094706
2020-03-24,"Primera",23,"Índice (día 1 = 100)",1293.84615384615
2020-03-25,"Primera",24,"Casos",252
2020-03-25,"Primera",24,"Media móvil de 7 días",261.857142857143
2020-03-25,"Primera",24,"Spline (df=33)",260.072960920651
2020-03-25,"Primera",24,"Cambio en spline",0.0765440484678602
2020-03-25,"Primera",24,"Índice (día 1 = 100)",1410
2020-03-26,"Primera",25,"Casos",297
2020-03-26,"Primera",25,"Media móvil de 7 días",279.571428571429
2020-03-26,"Primera",25,"Spline (df=33)",280.053387510779
2020-03-26,"Primera",25,"Cambio en spline",0.0768262356817026
2020-03-26,"Primera",25,"Índice (día 1 = 100)",1505.38461538462
2020-03-27,"Primera",26,"Casos",322
2020-03-27,"Primera",26,"Media móvil de 7 días",303
2020-03-27,"Primera",26,"Spline (df=33)",301.65965877133
2020-03-27,"Primera",26,"Cambio en spline",0.0771505442322818
2020-03-27,"Primera",26,"Índice (día 1 = 100)",1631.53846153846
2020-03-28,"Primera",27,"Casos",310
2020-03-28,"Primera",27,"Media móvil de 7 días",321.428571428571
2020-03-28,"Primera",27,"Spline (df=33)",325.028807086928
2020-03-28,"Primera",27,"Cambio en spline",0.0774685896376785
2020-03-28,"Primera",27,"Índice (día 1 = 100)",1730.76923076923
2020-03-29,"Primera",28,"Casos",304
2020-03-29,"Primera",28,"Media móvil de 7 días",362.857142857143
2020-03-29,"Primera",28,"Spline (df=33)",350.297864842199
2020-03-29,"Primera",28,"Cambio en spline",0.0777440559245963
2020-03-29,"Primera",28,"Índice (día 1 = 100)",1953.84615384615
2020-03-30,"Primera",29,"Casos",427
2020-03-30,"Primera",29,"Media móvil de 7 días",389.571428571429
2020-03-30,"Primera",29,"Spline (df=33)",377.603864421768
2020-03-30,"Primera",29,"Cambio en spline",0.077950802217619
2020-03-30,"Primera",29,"Índice (día 1 = 100)",2097.69230769231
2020-03-31,"Primera",30,"Casos",338
2020-03-31,"Primera",30,"Media móvil de 7 días",414.857142857143
2020-03-31,"Primera",30,"Spline (df=33)",407.083838210259
2020-03-31,"Primera",30,"Cambio en spline",0.0780711654888234
2020-03-31,"Primera",30,"Índice (día 1 = 100)",2233.84615384615
2020-04-01,"Primera",31,"Casos",542
2020-04-01,"Primera",31,"Media móvil de 7 días",441
2020-04-01,"Primera",31,"Spline (df=33)",438.874818592298
2020-04-01,"Primera",31,"Cambio en spline",0.0780944301837369
2020-04-01,"Primera",31,"Índice (día 1 = 100)",2374.61538461538
2020-04-02,"Primera",32,"Casos",484
2020-04-02,"Primera",32,"Media móvil de 7 días",467
2020-04-02,"Primera",32,"Spline (df=33)",473.113837952509
2020-04-02,"Primera",32,"Cambio en spline",0.0780154565942831
2020-04-02,"Primera",32,"Índice (día 1 = 100)",2514.61538461538
2020-04-03,"Primera",33,"Casos",499
2020-04-03,"Primera",33,"Media móvil de 7 días",500.142857142857
2020-04-03,"Primera",33,"Spline (df=33)",509.937928675518
2020-04-03,"Primera",33,"Cambio en spline",0.077833467907792
2020-04-03,"Primera",33,"Índice (día 1 = 100)",2693.07692307692
2020-04-04,"Primera",34,"Casos",493
2020-04-04,"Primera",34,"Media móvil de 7 días",532.857142857143
2020-04-04,"Primera",34,"Spline (df=33)",549.438031066495
2020-04-04,"Primera",34,"Cambio en spline",0.0774606087716847
2020-04-04,"Primera",34,"Índice (día 1 = 100)",2869.23076923077
2020-04-05,"Primera",35,"Casos",486
2020-04-05,"Primera",35,"Media móvil de 7 días",556.714285714286
2020-04-05,"Primera",35,"Spline (df=33)",591.520717112797
2020-04-05,"Primera",35,"Cambio en spline",0.0765922336402818
2020-04-05,"Primera",35,"Índice (día 1 = 100)",2997.69230769231
2020-04-06,"Primera",36,"Casos",659
2020-04-06,"Primera",36,"Media móvil de 7 días",588.142857142857
2020-04-06,"Primera",36,"Spline (df=33)",636.046466722323
2020-04-06,"Primera",36,"Cambio en spline",0.0752733561503233
2020-04-06,"Primera",36,"Índice (día 1 = 100)",3166.92307692308
2020-04-07,"Primera",37,"Casos",567
2020-04-07,"Primera",37,"Media móvil de 7 días",670.285714285714
2020-04-07,"Primera",37,"Spline (df=33)",682.875759802975
2020-04-07,"Primera",37,"Cambio en spline",0.0736255848129669
2020-04-07,"Primera",37,"Índice (día 1 = 100)",3609.23076923077
2020-04-08,"Primera",38,"Casos",709
2020-04-08,"Primera",38,"Media móvil de 7 días",715.428571428571
2020-04-08,"Primera",38,"Spline (df=33)",731.869076262655
2020-04-08,"Primera",38,"Cambio en spline",0.07174557854245
2020-04-08,"Primera",38,"Índice (día 1 = 100)",3852.30769230769
2020-04-09,"Primera",39,"Casos",704
2020-04-09,"Primera",39,"Media móvil de 7 días",770
2020-04-09,"Primera",39,"Spline (df=33)",782.886896009263
2020-04-09,"Primera",39,"Cambio en spline",0.0697089430354595
2020-04-09,"Primera",39,"Índice (día 1 = 100)",4146.15384615385
2020-04-10,"Primera",40,"Casos",1074
2020-04-10,"Primera",40,"Media móvil de 7 días",828.571428571429
2020-04-10,"Primera",40,"Spline (df=33)",835.7896989507
2020-04-10,"Primera",40,"Cambio en spline",0.0675740048927979
2020-04-10,"Primera",40,"Índice (día 1 = 100)",4461.53846153846
2020-04-11,"Primera",41,"Casos",809
2020-04-11,"Primera",41,"Media móvil de 7 días",892.857142857143
2020-04-11,"Primera",41,"Spline (df=33)",890.437964994868
2020-04-11,"Primera",41,"Cambio en spline",0.0653851873417162
2020-04-11,"Primera",41,"Índice (día 1 = 100)",4807.69230769231
2020-04-12,"Primera",42,"Casos",868
2020-04-12,"Primera",42,"Media móvil de 7 días",961.857142857143
